┌────────┬──────────────┬────────┬───────────┬───────────┬────────┬────────┬────────┬────────┬───────────┬─────────────┐
│     id │         name │      n │      f(x) │   ‖∇f(x)‖ │    # f │   # ∇f │  # ∇²f │   iter │         t │      status │
├────────┼──────────────┼────────┼───────────┼───────────┼────────┼────────┼────────┼────────┼───────────┼─────────────┤
│     41 │      engval1 │   1000 │  1.11e+03 │  9.34e-01 │      6 │      6 │      0 │      5 │  6.41e-01 │ first_order │
│     42 │     errinros │   1000 │  5.40e+02 │  7.13e+01 │      8 │      8 │      0 │      7 │  1.13e+00 │ first_order │
│     43 │     extrosnb │   1000 │  1.58e+00 │  5.00e+00 │      6 │      6 │      0 │      5 │  6.45e-01 │ first_order │
│     44 │     fletcbv2 │   1000 │ -5.01e-01 │  1.11e-06 │      7 │     13 │      0 │      6 │  9.54e+00 │  small_step │
│     45 │     fletcbv3 │   1000 │ -1.88e+03 │  2.16e-05 │     49 │     62 │      0 │     48 │  3.20e+00 │ first_order │
│     46 │     fletchcr │   1000 │  7.49e-06 │  2.07e-03 │    734 │    391 │      0 │    733 │  1.23e+01 │ first_order │
│     47 │     freuroth │   1000 │  6.07e+04 │  2.72e+00 │      7 │      8 │      0 │      6 │  1.04e+00 │ first_order │
│     48 │     genhumps │   1000 │  5.02e+00 │  9.27e-01 │   9043 │  12923 │      0 │   9042 │  3.85e+02 │ first_order │
│     49 │      genrose │   1000 │  1.00e+00 │  1.78e-02 │   1162 │   1626 │      0 │   1161 │  2.90e+01 │ first_order │
│     50 │ genrose_nash │   1000 │  1.00e+00 │  9.08e-02 │   1206 │   1709 │      0 │   1205 │  3.02e+01 │ first_order │
│     51 │        indef │   1000 │ -9.98e+04 │  4.30e-03 │    263 │    353 │      0 │    262 │  1.05e+01 │ first_order │
│     52 │     integreq │   1000 │  2.20e-11 │  7.98e-06 │      4 │      5 │      0 │      3 │  7.65e+01 │ first_order │
│     53 │      liarwhd │   1000 │  7.40e-02 │  1.93e+01 │     10 │     10 │      0 │      9 │  2.02e+00 │ first_order │
│     54 │       morebv │   1000 │  9.61e-06 │  2.73e-04 │      5 │      7 │      0 │      4 │  1.29e+01 │ first_order │
│     55 │        ncb20 │   1000 │  9.15e+02 │  3.58e-02 │     39 │     43 │      0 │     38 │  1.71e+01 │ first_order │
│     56 │       ncb20b │   1000 │  1.68e+03 │  4.24e-03 │      8 │     11 │      0 │      7 │  4.74e+00 │ first_order │
│     57 │     noncvxu2 │   1000 │  3.08e+04 │  1.01e+02 │    226 │    226 │      0 │    225 │  5.04e+00 │ first_order │
│     58 │     noncvxun │   1000 │  1.91e+04 │  1.10e+02 │    252 │    250 │      0 │    251 │  5.30e+00 │ first_order │
│     59 │       nondia │   1000 │  2.00e-04 │  7.41e+00 │      2 │      2 │      0 │      1 │  6.18e-01 │ first_order │
│     60 │     nondquar │   1000 │  9.85e-02 │  1.22e+00 │      8 │      8 │      0 │      7 │  7.20e-01 │ first_order │
│     61 │     penalty1 │   1000 │  9.58e+11 │  3.26e+09 │    124 │    124 │      0 │    123 │  2.88e+00 │ first_order │
│     63 │     penalty3 │   1000 │  3.56e+06 │  1.78e+04 │     45 │     48 │      0 │     44 │  5.01e+00 │ first_order │
│     64 │     powellsg │   1000 │  6.46e-01 │  1.59e+00 │      8 │      8 │      0 │      7 │  8.38e-01 │ first_order │
│     65 │        power │   1000 │  2.27e+06 │  4.11e+06 │      8 │      8 │      0 │      7 │  8.24e-01 │ first_order │
│     66 │       quartc │   1000 │  5.37e+09 │  1.43e+07 │    131 │    131 │      0 │    130 │  1.50e+00 │ first_order │
